,en,es,ja
BlueFlame_desc,Frozen spirit. Weirdly enough it prefers to live close to lava.,Espíritu helado. Extrañamente prefiere vivir en volcanes.,凍てついた精神。 奇妙なことに、それは溶岩の近くに住むことを好みます。
RedFlame,Red Flame,Flama Azul,赤い炎
RedFlame_desc,"Natural spirit of fire, born from the entrails of a vulcan.",Espíritu natural del fuego nacido en las entrañas de un volcán.,バルカンの内臓から生まれる自然の火の精霊。
ArmoredInsect,Armored Insect,Insecto armado,アーマード・インセクト
ArmoredInsect_desc,Abomination with an impenetrable armor.,Abominación que posee una armadura impenetrable.,貫通不可能な鎧を備えた忌まわしき者。
,,,
Medicine/Drench,Drench,Poción,薬
Medicine/Drench_desc,Recovers 30% of max LP.,Recupera 30% del LP máximo.,
Medicine/Great Drench,Great Drench,Gran poción,素晴らしい薬
Medicine/Great Drench_desc,Recovers 60% of max LP.,Restaura 60% del LP máximo.,
Medicine/Tonic,Tonic,Tónico,
Medicine/Tonic_desc,Recovers 30% of max MP.,Recobra 30% del MP máximo.,
Medicine/Mid Tonic,Mid Tonic,Tónico Medio,
Medicine/Mid Tonic_desc,Recovers 60% of max MP.,Recupera 60% del MP máximo.,
Medicine/Ether,Ether,Éter,
Medicine/Ether_desc,Restores 50% of both max LP and MP.,Recupera un 50% del LP y MP máximos.,
Medicine/Elixir,Elixir,Elíxir,
Medicine/Elixir_desc,Restores all uses for techniques on a single ally.,Restaura todos los usos en las habilidades de un aliado.,
Medicine/Lunar Teardrop,Lunar Teardrop,Lágrima Lunar,
Medicine/Lunar Teardrop_desc,"Restores all LP and MP to the group, resets all skill uses. Can't be used in battle.","Recupera todos los LP y MP al grupo, restaura usos de habilidad. Sólo fuera de batalla.",
Medicine/Lifesaver S,Lifesaver S,Salvavidas S,
Medicine/Lifesaver S_desc,Revives and restores the group by 256LP and 128MP.,Revive y recupera al grupo por 256LP y 128MP.,
Medicine/Lifesaver M,Lifesaver M,Salvavidas M,
Medicine/Lifesaver M_desc,Revives and restores 1024LP and 256MP to the group.,Revive y restaura 1024LP y 256MP al grupo.,
Medicine/Lifesaver L,Lifesaver L,Salvavidas L,
Medicine/Lifesaver L_desc,Revives and restores 4096LP and 512MP to the group.,Revive y restaura 4096 LP y 512 MP del grupo.,
Medicine/Phoenix Feather,Phoenix Feather,Pluma fénix,
Medicine/Phoenix Feather_desc,Revives one ally with 1/4 of its full LP.,Revive con 25% LP a un aliado.,
Medicine/Phoenix Tail,Phoenix Tail,Cola fénix,
Medicine/Phoenix Tail_desc,Ressurects an ally with full LP.,Revive con todo el LP a un aliado.,
Medicine/Antidote,Antidote,Antídoto,
Medicine/Antidote_desc,Removes progressive damage altered states.,Remueve estados alterados de daño progresivo.,
Medicine/Bandage,Bandage,Vendaje,
Medicine/Bandage_desc,Helps stop bleedings.,Ayuda a detener hemorragias.,
Medicine/Root,Root,Raíz,
Medicine/Root_desc,Removes poisoning. Sells for some cash.,Remueve venenos. Se vende por algo de dinero.,
Medicine/Stem,Stem,Tallo,
Medicine/Stem_desc,Restores burns. Sells for some cash.,Cura quemaduras. Se vende por algo de dinero.,
Medicine/Eldritch Watch,Eldritch Watch,Reloj misterioso,
Medicine/Eldritch Watch_desc,Removes dimensional damage. Somehow.,Remueve daño dimensional. De alguna manera.,
Medicine/Thaw,Thaw,Deshielo,
Medicine/Thaw_desc,Removes certain afflictions.,Recupera de ciertas enfermedades.,
Medicine/Panacea,Panacea,Panacea,
Medicine/Panacea_desc,"Removes any illness, except for progressive damage.","Remueve cualquier padecimiento, excepto daño progresivo.",
,,,
Weapon/Short Bow,Short Bow,Arco corto,
Weapon/Short Bow_desc,Basic ranged weapon.,Arma básica de rango.,
Weapon/Leather Gloves,Leather Gloves,Guantes de cuero,
Weapon/Leather Gloves_desc,"Great comfortability, allow for sucessive fast punches.","De gran comfortabilidad, permiten múltiples golpes rápidos.",
Weapon/Short Sword,Short Sword,Espada corta,
Weapon/Short Sword_desc,A short-edged sword.,Una espada de filo corto.,
Weapon/Sword,Sword,Espada,
Weapon/Sword_desc,Made out of hard metal and a medium-sized edge.,Hecha de metal y un filo medio.,
,,,
Armor/One Piece,One Piece,Unipieza,
Armor/One Piece_desc,Oh my god it's the one piece!!111 The pirate treasure!11!11.,Oh dios mío es la unipieza!!11! el tesoro pirata!1!111.,
,,,
KeyItems/ForkliftKey,Forklift Key,Llave del Montacargas,
KeyItems/ForkliftKey_desc,Allows you to turn on and drive the forklift.,Te permite encender y manejar el montacargas.,
,,,
Scrolls/H Cleave,Scroll H - Cleave,Folio H - Hender,
Scrolls/H Cleave_desc,"Deals 1.2x normal damage. If the target dies, attacks the next foe.","1.2x daño de ataque regular. Si el enemigo muere, ataca un siguiente objetivo.",
,,,
Common/Bite,Bite,Mordisco,
Common/Bite_desc,Basic attack.,Ataque básico.,
Common/Claw,Claw,Garra,
Common/Claw_desc,Basic attack.,Ataque básico.,
Common/Escape,Escape,Escape,
Common/Escape_desc,,,
Common/Kick,Kick,Patada,
Common/Kick_desc,Basic attack.,Ataque básico.,
Common/Move Back,Move Back,Retroceder,
Common/Move Back_desc,,,
Common/Move Forward,Move Forward,Avanzar,
Common/Move Forward_desc,,,
Common/Punch,Punch,Puño,
Common/Punch_desc,Basic attack.,Ataque básico.,
Common/Wait,Wait,Espera,
Common/Wait_desc,,,
,,,
Passives/Trance,Trance,Trance,
Passives/Trance_desc,Upgrades single-target techniques. Ups evasion against single-target techniques.,Mejora técnicas de un sólo objetivo. Probabilidad de evadir técnicas de un sólo objetivo.,
Passives/Elemental Bender,Elemental Bender,Dominador elemental,
Passives/Elemental Bender_desc,Reduces the effect of enemy elemental resistances.,Disminuye efecto de resistencias elementales enemigas.,
,,,
Passives/Counterattack,Counterattack,Contraataque,
Passives/Counterattack_desc,Counters all physical damage with a basic physical attack.,Probabilidad de contraatacar movimientos físicos.,
Passives/Air Juggling,Air Juggling,Malabarista aéreo,
Passives/Air Juggling_desc,Improves chances of hitting aerial enemies.,Mejora las probabilidades de golpear enemigos aéreos.,
Passives/Cost Reduce,Cost Reduce,Reducción de costos,
Passives/Cost Reduce_desc,Reduced MP Costs by a 1/6.,Costos de MP reducidos en 1/6.,
Passives/Element Affinity,Element Affinity,Afinidad de Elemento,
Passives/Element Affinity_desc,Partial element resistances become full element resistances.,Resistencias parciales se convierten en resistencias completas.,
Passives/Alchemist,Alchemist,Alquimista,
Passives/Alchemist_desc,Item effects are doubled.,Los efectos de objetos son dobles.,
Passives/Mana Flow,Mana Flow,Flujo de Mana,
Passives/Mana Flow_desc,"Skills cost 1.5x MP, power is raised by 25%.","Técnicas cuestan 1.5x MP, pero su poder aumenta en un 25%.",
Passives/Concentration,Concentration,Concentración,
Passives/Concentration_desc,Ups evasion by 5%.,Aumenta evasión un 5%.,
Passives/Weakness Policy,Weakness Policy,Seguro debilidad,
Passives/Weakness Policy_desc,Raises attack and intelligence after being hit by super effective attacks.,Aumenta el ataque e inteligencia tras ser golpeado por un golpe super efectivo.,
Passives/Sturdy,Sturdy,Robusto,
Passives/Sturdy_desc,Survives from one-hit KO if HP is completely full.,Sobrevive golpes fulminantes si el LP está al máximo.,
Passives/Elemental Bonus,Elemental Bonus,Bono elemental,
Passives/Elemental Bonus_desc,Raises power to any element the user is resistant to.,Aumenta el poder de todo elemento que el usuario resista.,
Passives/Infinity,Infinity,Infinito,
Passives/Infinity_desc,All techniques cost 0. Max MP is 1.,Todas las técnicas cuestan 0. El MP Máximo es 1.,
Passives/Sheer Force,Sheer Force,Fuerza Bruta,
Passives/Sheer Force_desc,"Physical moves have improved damage, but lowers their accuracy.","Movimientos físicos tienen daño mejorado, pero baja su precisión.",
Passives/Provoke,Provoke,Provocar,
Passives/Provoke_desc,Raises the chance of being targetted by enemies.,Aumenta la probabilidad de ser objetivo de ataques enemigos.,
Passives/Focused Force,Focused Force,Fuerza Centrada,
Passives/Focused Force_desc,"Physical moves have less damage, but makes them rarely miss.","Ataques físicos hacen menos daño, pero rara vez fallan.",
Passives/Wolf's Reflexes,Wolf's Reflexes,Reflejos de Lobo,
Passives/Wolf's Reflexes_desc,Ups the chance of evading physical attacks.,Aumenta probabilidad de evadir ataques físicos.,
Passives/Owl's Wisdom,Owl's Wisdom,Sabiduría de Búho,
Passives/Owl's Wisdom_desc,Ups the chance of evading magical attacks.,Aumenta probabilidad de evadir ataques mágicos.,
Passives/Barter,Barter,Trueque,
Passives/Barter_desc,Gets discounts from shops. Raises selling prices.,Obtiene uentos de tiendas. Aumenta precios de venta.,
Passives/Gale Wing,Gale Wing,Ala de gala,
Passives/Gale Wing_desc,Raises speed and evasion when under Hurricane weather.,Aumenta velocidad y evasión si el clima es Huracán.,
Passives/Elemental Sensitivity,Elemental Sensitivity,Sensibilidad Elemental,
Passives/Elemental Sensitivity_desc,Effects of element affinity are doubled.,Dobla efectos de afinidad elemental.,
Passives/Weak Guard,Weak Guard,Guardia Frágil,
Passives/Weak Guard_desc,Defense is reduced after each physical damage.,Disminuye la defensa tras cada ataque físico.,
Passives/Glass Cannon,Glass Cannon,Cañón de vidrio,
Passives/Glass Cannon_desc,"Intelligence is doubled, defense drops to one.","Dobla la inteligencia, disminuye defensa a 1.",
Passives/Sinergy,Sinergy,Sinergía,
Passives/Sinergy_desc,Allied attacks are buffed when used in consecution.,Mejora ataques de aliados si actúan en consecución.,
Passives/Last Stand,Last Stand,Última Resistencia,
Passives/Last Stand_desc,All defenses are doubled when HP is low.,Dobla las defensas cuando el LP está bajo.,
,,,
Aire Ball,Aire Ball,Bola de Aire,
Aire Ball_desc,Wind damage that depends on the user's LP.,Daño de viento dependiente del LP del usuario.,
Anti,Anti,Anti,
Anti_desc,Removes progressive damage states. \BB[cycle_left]/\BB[cycle_right] changes scope.,Cura estados de daño progresivo. \BB[cycle_left]/\BB[cycle_right] cambia objetivo.,
Esna,Esna,Esna,
Esna_desc,Removes physical restrictions and mental illnesses. \BB[cycle_left]/\BB[cycle_right] changes scope.,Remueve restricciones físicas y males mentales. \BB[cycle_left]/\BB[cycle_right] cambia objetivo.,
Crystalize,Crystalize,Cristalizar,
Crystalize_desc,Massive ice magical damage. Might freeze the target.,Daño masivo de hielo. Puede congelar.,
Cutting Wind,Cutting Wind,Viento cortante,
Cutting Wind_desc,Basic wind damage. Can cause bleeding wounds.,Daño básico de viento. Produce heridas.,
Double Attack,Double Attack,Doble ataque,
Double Attack_desc,Performs a double attack with wielded weapons.,Realiza un ataque doble con las armas equipadas.,
Earthquake,Earthquake,Terremoto,
Earthquake_desc,Massive earth damage to all. Can't hit flying targets. Causes shock.,Daño masivo de tierra a todos. No afecta voladores. Causa shock.,
Ice Star,Ice Star,Estrella de hielo,
Ice Star_desc,High ice magical damage. Might freeze the target.,Daño alto de hielo. Puede causar congelación.,
Ignite,Ignite,Encender,
Ignite_desc,Hight voltage discharge that might light fire. Causes shock.,Descarga de alto voltaje que puede producir fuego. Causa shock.,
Jolt,Jolt,Sacudida,
Jolt_desc,Small discharge that might cause shock.,Pequeña descarga que puede causar shock.,
Lightning,Lightning,Relámpago,
Lightning_desc,High magical thunder damage. Causes shock.,Gran daño mágico de trueno. Causa shock.,
Mental Absorb,Mental Absorb,Absorción mental,
Mental Absorb_desc,Drains MP from the enemy.,Drena MP del enemigo.,
Meteor Strike,Meteor Strike,Impacto meteoro,
Meteor Strike_desc,Special attack from the air. High critical chance.,Ataque especial desde el aire. Posibilidad de crítico.,
Nova,Nova,Nova,
Nova_desc,Thunder magical damage. Reduces resistance to electricity.,Daño mágico de trueno. Reduce resistencia a la electricidad.,
Pass Through,Pass Through,Embestida,
Pass Through_desc,"Dashes forward through the enemy. Might shock, flips the enemy.",Daño físico de golpe a un enemigo. Causa shock y voltea al enemigo.,
Projectile Rain,Projectile Rain,Lluvia de proyectiles,
Projectile Rain_desc,Shoots projectiles to the air that hit enemies at random. Knocks down flying targets.,Lanza proyectiles al aire que golpean a objetivos al azar. Derriba objetivos voladores.,
Ra Thunder,Ra's Thunder,Trueno de Ra,
Ra Thunder_desc,Thunder magical damage that ignores defenses.,Daño mágico de trueno a todos los enemigos que ignora defensas.,
Ragna Edge,Ragna Edge,Filo Ragna,
Ragna Edge_desc,Physical/magical cutting earth damage. Ignore defenses.,Daño físico-mágico de corte y tierra. Ignora defensas.,
Remedy,Remedy,Remedio,
Remedy_desc,Basic healing spell. \BB[cycle_left]/\BB[cycle_right] changes scope.,Hechizo de cura básico. \BB[cycle_left]/\BB[cycle_right] para cambiar objetivos.,
RemedyP,Remedy+,Remedio+,
RemedyP_desc,Basic healing spell. \BB[cycle_left]/\BB[cycle_right] changes scope.,Hechizo de cura básico. \BB[cycle_left]/\BB[cycle_right] para cambiar objetivos.,
RemedyPP,Remedy++,Remedio++,
RemedyPP_desc,Basic healing spell. \BB[cycle_left]/\BB[cycle_right] changes scope.,Hechizo de cura básico. \BB[cycle_left]/\BB[cycle_right] para cambiar objetivos.,
Scan,Scan,Escaneo,
Scan_desc,Shows enemy information.,Te da información básica sobre el enemigo.,
Scrape,Scrape,Raspar,
Scrape_desc,Magical non-elemental damage that affects MP.,Daño mágico no elemental que afecta al MP.,
Shouten Cut,Shouten Cut,Corte Shouten,
